driver_id,total_fare,avg_distance
11,158.68,32.78
29,107.45,28.98
69,104.78,12.54
87,97.47999999999999,40.239999999999995
64,213.76,27.45
3,19.92,24.54
30,174.17999999999998,43.785
34,147.29,5.32
59,223.22,14.936666666666667
8,335.40999999999997,32.986666666666665
22,41.12,11.65
28,40.04,22.11
85,288.73,12.123333333333335
16,72.21,37.18
35,21.86,45.35
52,342.1,7.566666666666667
71,146.37,33.07
47,167.9,13.135
99,51.91,22.65
43,120.66,40.12
31,140.46,46.2
100,43.96,17.08
18,129.0,36.605000000000004
61,263.01,24.173333333333336
27,47.78,12.45
17,47.11,31.39
6,146.75,47.83
60,41.64,22.73
90,391.90000000000003,33.24999999999999
