driver_id,total_fare,avg_distance
55,96.26,1.1
93,122.71,20.42
95,231.87,33.435
38,45.269999999999996,20.67
25,166.01,34.155
53,129.98000000000002,21.83
92,175.48999999999998,8.860000000000001
86,146.38,47.2
58,139.16,32.435
33,85.36,18.97
48,43.0,27.06
97,108.46,20.6
84,252.63,16.603333333333335
9,6.72,39.5
32,53.86,3.91
88,93.95,26.59
56,214.83999999999997,25.93
36,19.76,21.74
10,40.86,13.82
37,96.95,43.16
49,70.65,47.15
63,30.97,33.56
4,46.45,2.39
62,33.7,37.76
12,98.83,36.84
14,34.27,3.95
66,79.54,24.65
72,64.99,27.85
76,34.3,29.45
2,62.27,6.57
80,101.12,1.52
50,70.04,8.63
45,97.38,1.21
57,56.26,39.52
